id,Airline,Source,Destination,Date_of_Journey,Dep_Time,Duration,Total_Stops,Additional_Info,Price_in_Euro
111,Jet Airways,Banglore,New Delhi,18/03/2019,14:05,15h,1 stop,No info,149.105
112,IndiGo,Banglore,Delhi,12/04/2019,18:55,2h 55m,non-stop,No info,63.58
113,Vistara,Kolkata,Banglore,12/05/2019,20:20,12h 45m,1 stop,No info,103.367
114,Jet Airways,Delhi,Cochin,6/03/2019,18:15,10h 10m,1 stop,No info,187.264
115,GoAir,Delhi,Cochin,27/06/2019,07:00,5h 55m,1 stop,No info,58.091
116,Multiple carriers,Delhi,Cochin,18/05/2019,07:05,15h 25m,1 stop,No info,113.828
117,Air India,Delhi,Cochin,6/03/2019,17:20,16h 5m,1 stop,No info,139.447
118,Multiple carriers,Delhi,Cochin,3/03/2019,15:25,10h 10m,1 stop,No info,166.617
119,Vistara,Banglore,Delhi,12/06/2019,07:00,2h 40m,non-stop,No info,51.348
120,Jet Airways,Delhi,Cochin,9/05/2019,07:05,11h 55m,1 stop,No info,171.094
121,SpiceJet,Banglore,Delhi,9/04/2019,05:55,2h 40m,non-stop,No info,43.681
122,Air India,Mumbai,Hyderabad,3/05/2019,15:00,1h 25m,non-stop,No info,34.1
123,Jet Airways,Kolkata,Banglore,6/05/2019,20:00,14h 5m,1 stop,In-flight meal not included,106.293
124,Air India,Delhi,Cochin,1/03/2019,23:00,20h 15m,1 stop,No info,301.73
125,IndiGo,Chennai,Kolkata,12/05/2019,05:15,2h 25m,non-stop,No info,38.94
126,Air India,Kolkata,Banglore,21/05/2019,12:00,23h 10m,2 stops,No info,117.436
127,Jet Airways,Kolkata,Banglore,12/06/2019,14:05,18h 10m,1 stop,No info,143.484
128,Jet Airways,Kolkata,Banglore,6/05/2019,20:00,16h,1 stop,No info,158.268
129,IndiGo,Banglore,Delhi,24/06/2019,04:00,2h 50m,non-stop,No info,43.373
130,IndiGo,Chennai,Kolkata,3/06/2019,14:45,2h 20m,non-stop,No info,39.567
131,Air India,Banglore,New Delhi,21/03/2019,11:50,8h,1 stop,No info,65.252
132,Jet Airways,Delhi,Cochin,15/06/2019,11:30,16h 55m,1 stop,In-flight meal not included,112.882
133,Vistara,Delhi,Cochin,12/05/2019,14:40,3h 10m,non-stop,No info,68.376
134,IndiGo,Kolkata,Banglore,15/06/2019,20:25,2h 45m,non-stop,No info,52.844
135,Multiple carriers,Delhi,Cochin,21/05/2019,11:30,14h,1 stop,No info,154.737
136,Jet Airways,Delhi,Cochin,18/05/2019,19:10,23h 50m,2 stops,No info,166.419
137,Jet Airways,Delhi,Cochin,6/06/2019,06:45,21h 40m,2 stops,No info,147.136
138,Air India,Delhi,Cochin,27/06/2019,22:00,21h 15m,2 stops,No info,114.851
139,Jet Airways,Banglore,Delhi,24/05/2019,06:00,2h 45m,non-stop,In-flight meal not included,44.33
140,Jet Airways,Delhi,Cochin,3/03/2019,08:00,10h 50m,1 stop,No info,187.264
141,Multiple carriers,Delhi,Cochin,9/04/2019,17:30,8h,1 stop,No info,143.187
142,GoAir,Kolkata,Banglore,6/06/2019,23:30,8h 15m,1 stop,No info,73.546
143,IndiGo,Delhi,Cochin,15/06/2019,02:00,5h 25m,1 stop,No info,61.996
144,IndiGo,Delhi,Cochin,9/06/2019,07:35,8h 35m,1 stop,No info,70.862
145,Multiple carriers,Delhi,Cochin,21/05/2019,13:05,11h 50m,1 stop,No info,104.346
146,Jet Airways,Kolkata,Banglore,21/05/2019,20:00,27h 35m,1 stop,In-flight meal not included,119.284
147,Jet Airways,Delhi,Cochin,3/06/2019,20:00,8h 25m,2 stops,In-flight meal not included,168.498
148,Air India,Delhi,Cochin,3/04/2019,12:30,20h 55m,1 stop,No info,56.287
149,IndiGo,Delhi,Cochin,24/06/2019,15:10,4h 50m,1 stop,No info,67.617
150,Multiple carriers,Delhi,Cochin,9/06/2019,12:50,8h 10m,1 stop,No info,77.055
151,SpiceJet,Kolkata,Banglore,3/04/2019,22:20,2h 20m,non-stop,No info,42.603
152,Jet Airways,Delhi,Cochin,21/03/2019,18:25,24h 25m,2 stops,In-flight meal not included,101.97
153,GoAir,Banglore,Delhi,27/06/2019,11:40,2h 50m,non-stop,No info,42.878
154,Jet Airways,Kolkata,Banglore,12/05/2019,08:25,12h 20m,1 stop,No info,162.591
155,Jet Airways,Kolkata,Banglore,24/05/2019,20:00,12h 15m,1 stop,In-flight meal not included,94.446
156,Air India,Kolkata,Banglore,9/05/2019,08:20,23h 35m,2 stops,No info,117.667
157,Jet Airways,Delhi,Cochin,27/06/2019,20:00,16h 35m,2 stops,No info,157.3
158,IndiGo,Banglore,New Delhi,03/03/2019,18:55,2h 50m,non-stop,No info,97.405
159,Jet Airways,Kolkata,Banglore,12/05/2019,16:30,25h 45m,1 stop,In-flight meal not included,119.284
160,Jet Airways,Delhi,Cochin,6/03/2019,02:15,26h 10m,1 stop,No info,187.264
161,Jet Airways,Kolkata,Banglore,1/05/2019,09:35,28h 50m,1 stop,In-flight meal not included,102.454
162,IndiGo,Banglore,New Delhi,24/03/2019,00:40,2h 45m,non-stop,No info,52.547
163,Air India,Kolkata,Banglore,9/06/2019,12:00,25h 15m,1 stop,No info,84.282
164,IndiGo,Delhi,Cochin,9/05/2019,06:50,9h 20m,1 stop,No info,70.862
165,SpiceJet,Delhi,Cochin,12/06/2019,08:45,4h 30m,1 stop,No info,57.904
166,Jet Airways,Delhi,Cochin,27/05/2019,13:00,15h 25m,1 stop,In-flight meal not included,141.878
167,Air India,Mumbai,Hyderabad,3/03/2019,13:55,1h 30m,non-stop,No info,67.012
168,SpiceJet,Banglore,Delhi,21/05/2019,05:55,2h 40m,non-stop,No info,36.421
169,Jet Airways,Delhi,Cochin,27/03/2019,19:15,9h 10m,1 stop,In-flight meal not included,71.94
170,IndiGo,Banglore,Delhi,27/05/2019,01:30,2h 45m,non-stop,No info,37.609
171,Jet Airways,Delhi,Cochin,3/04/2019,14:00,22h 35m,1 stop,In-flight meal not included,56.947
172,Air India,Delhi,Cochin,18/04/2019,18:05,3h 5m,non-stop,No info,90.706
173,Jet Airways,Kolkata,Banglore,9/06/2019,09:35,11h 30m,1 stop,No info,161.436
174,Multiple carriers,Delhi,Cochin,27/06/2019,11:30,9h 30m,1 stop,No info,149.457
175,Jet Airways,Kolkata,Banglore,6/05/2019,21:10,12h 10m,1 stop,In-flight meal not included,106.293
176,Jet Airways,Kolkata,Banglore,12/06/2019,16:30,17h 35m,1 stop,No info,143.484
177,IndiGo,Delhi,Cochin,3/04/2019,20:25,5h 5m,1 stop,No info,55.803
178,Vistara,Kolkata,Banglore,21/05/2019,17:00,25h 50m,1 stop,No info,102.795
179,Jet Airways,Kolkata,Banglore,6/05/2019,14:05,20h,1 stop,In-flight meal not included,106.293
180,Multiple carriers,Delhi,Cochin,21/05/2019,08:00,13h,1 stop,No info,157.047
181,Jet Airways,Delhi,Cochin,1/06/2019,10:00,18h 25m,1 stop,In-flight meal not included,112.882
182,Jet Airways,Mumbai,Hyderabad,27/03/2019,19:35,1h 30m,non-stop,No info,62.458
183,Multiple carriers,Delhi,Cochin,15/05/2019,16:00,9h 30m,1 stop,No info,150.997
184,Jet Airways,Kolkata,Banglore,6/05/2019,20:00,16h,1 stop,In-flight meal not included,106.293
185,IndiGo,Chennai,Kolkata,12/05/2019,14:45,2h 20m,non-stop,No info,42.438
186,SpiceJet,Delhi,Cochin,24/06/2019,08:45,4h 30m,1 stop,No info,52.932
187,IndiGo,Delhi,Cochin,27/06/2019,21:50,5h 45m,1 stop,No info,63.525
188,Jet Airways,Kolkata,Banglore,6/06/2019,09:35,24h 10m,1 stop,In-flight meal not included,115.929
189,IndiGo,Kolkata,Banglore,3/06/2019,15:30,2h 35m,non-stop,No info,52.844
190,Air Asia,Banglore,Delhi,12/06/2019,11:10,2h 45m,non-stop,No info,37.213
191,IndiGo,Banglore,New Delhi,03/03/2019,12:10,4h 55m,1 stop,No info,96.118
192,Air India,Delhi,Cochin,27/03/2019,05:15,25h 35m,1 stop,No info,78.815
193,IndiGo,Delhi,Cochin,24/06/2019,16:10,6h 20m,1 stop,No info,70.532
194,Jet Airways,Banglore,Delhi,27/06/2019,18:55,3h 5m,non-stop,No info,88.176
195,Jet Airways,Banglore,New Delhi,12/03/2019,20:35,18h 40m,1 stop,In-flight meal not included,121.957
196,SpiceJet,Chennai,Kolkata,27/06/2019,09:45,2h 15m,non-stop,No check-in baggage included,38.973
197,Jet Airways,Kolkata,Banglore,12/06/2019,16:30,12h 10m,1 stop,No info,137.181
198,Jet Airways,Delhi,Cochin,24/06/2019,09:00,19h 25m,1 stop,In-flight meal not included,112.882
199,Air India,Banglore,New Delhi,18/03/2019,13:20,2h 50m,non-stop,No info,48.851
200,Multiple carriers,Delhi,Cochin,27/03/2019,07:05,8h 25m,1 stop,No info,137.907
201,GoAir,Kolkata,Banglore,24/03/2019,22:25,9h 15m,1 stop,No info,111.001
202,Air India,Banglore,Delhi,3/06/2019,21:05,2h 50m,non-stop,No info,76.571
203,IndiGo,Delhi,Cochin,24/04/2019,05:35,3h 15m,non-stop,No info,55.143
204,Air India,Delhi,Cochin,18/05/2019,05:10,2h 50m,non-stop,No info,76.274
205,Multiple carriers,Delhi,Cochin,3/06/2019,06:40,12h 20m,1 stop,No info,119.647
206,Jet Airways,Banglore,Delhi,18/04/2019,15:15,2h 55m,non-stop,No info,79.519
207,IndiGo,Delhi,Cochin,27/03/2019,16:00,9h 35m,1 stop,No info,77.528
208,Vistara,Banglore,Delhi,27/06/2019,17:00,2h 35m,non-stop,No info,53.658
209,Jet Airways,Kolkata,Banglore,21/05/2019,14:05,9h 30m,1 stop,In-flight meal not included,119.284
210,Jet Airways,Delhi,Cochin,18/05/2019,23:05,29h 20m,2 stops,No info,166.419
211,IndiGo,Banglore,Delhi,12/05/2019,00:30,2h 55m,non-stop,No info,43.373
212,SpiceJet,Delhi,Cochin,6/06/2019,06:05,5h 15m,1 stop,No info,61.413
213,Multiple carriers,Delhi,Cochin,6/06/2019,07:05,9h 5m,1 stop,No info,106.106
214,Multiple carriers,Delhi,Cochin,3/06/2019,08:30,10h 45m,1 stop,No info,84.447
215,IndiGo,Delhi,Cochin,1/06/2019,05:10,4h 55m,1 stop,No info,75.262
216,Jet Airways,Mumbai,Hyderabad,24/06/2019,08:45,1h 30m,non-stop,In-flight meal not included,54.945
217,Vistara,Kolkata,Banglore,9/06/2019,07:10,11h 40m,1 stop,No info,105.105
218,IndiGo,Banglore,Delhi,1/06/2019,01:30,2h 45m,non-stop,No info,44.847
219,Jet Airways,Banglore,Delhi,12/05/2019,15:15,2h 55m,non-stop,No info,79.519
220,Multiple carriers,Delhi,Cochin,9/06/2019,09:00,10h,1 stop,No info,134.112
221,Air India,Banglore,Delhi,12/04/2019,10:00,2h 45m,non-stop,No info,65.021
222,Air India,Delhi,Cochin,12/06/2019,09:00,10h 15m,1 stop,No info,92.092
223,Jet Airways,Mumbai,Hyderabad,18/03/2019,07:10,1h 25m,non-stop,In-flight meal not included,54.945
224,Multiple carriers,Delhi,Cochin,9/05/2019,10:00,9h 15m,1 stop,No info,157.553
225,Jet Airways,Delhi,Cochin,9/06/2019,05:30,22h 55m,2 stops,No info,143.154
226,Air India,Delhi,Cochin,6/06/2019,14:25,28h 50m,2 stops,No info,149.501
227,Jet Airways,Delhi,Cochin,3/03/2019,05:25,37h 25m,2 stops,No info,206.789
228,IndiGo,Banglore,Delhi,27/04/2019,23:30,2h 50m,non-stop,No info,43.373
229,SpiceJet,Mumbai,Hyderabad,21/05/2019,05:45,1h 30m,non-stop,No check-in baggage included,21.615
230,Jet Airways,Mumbai,Hyderabad,27/05/2019,10:20,1h 30m,non-stop,In-flight meal not included,54.945
231,Air India,Kolkata,Banglore,24/03/2019,16:50,25h 40m,1 stop,No info,161.051
232,Air India,Kolkata,Banglore,12/04/2019,20:45,2h 35m,non-stop,No info,49.06
233,Air India,Delhi,Cochin,18/05/2019,13:00,6h 15m,1 stop,No info,112.101
234,Jet Airways,Delhi,Cochin,9/03/2019,02:15,17h 30m,1 stop,In-flight meal not included,152.273
235,IndiGo,Delhi,Cochin,1/05/2019,21:50,5h 45m,1 stop,No info,69.839
236,Air Asia,Kolkata,Banglore,1/05/2019,10:20,2h 35m,non-stop,No info,48.499
237,Jet Airways,Delhi,Cochin,6/03/2019,18:15,25h 30m,1 stop,No info,187.264
238,Multiple carriers,Delhi,Cochin,18/05/2019,07:05,13h 55m,1 stop,No info,150.997
239,IndiGo,Banglore,New Delhi,15/03/2019,18:25,2h 55m,non-stop,No info,97.405
240,Multiple carriers,Delhi,Cochin,24/06/2019,08:45,10h 15m,1 stop,No info,137.764
241,Jet Airways,Banglore,New Delhi,18/03/2019,11:40,8h 40m,1 stop,No info,149.105
242,Jet Airways,Kolkata,Banglore,6/06/2019,06:30,5h 30m,1 stop,In-flight meal not included,119.284
243,Multiple carriers,Delhi,Cochin,9/06/2019,09:00,12h,1 stop,No info,149.457
244,SpiceJet,Chennai,Kolkata,12/06/2019,09:45,2h 15m,non-stop,No check-in baggage included,38.973
245,Vistara,Chennai,Kolkata,18/03/2019,07:05,2h 15m,non-stop,No info,53.262
246,IndiGo,Banglore,Delhi,24/04/2019,23:30,2h 50m,non-stop,No info,43.373
247,Jet Airways,Delhi,Cochin,9/06/2019,19:15,9h 10m,1 stop,In-flight meal not included,116.347
248,IndiGo,Delhi,Cochin,15/05/2019,10:35,10h 25m,1 stop,No info,76.769
249,Vistara,Chennai,Kolkata,27/06/2019,17:45,2h 20m,non-stop,No info,131.802
250,SpiceJet,Delhi,Cochin,6/06/2019,08:45,4h 30m,1 stop,No info,57.904
251,Vistara,Delhi,Cochin,3/03/2019,06:00,3h 10m,non-stop,No info,88.011
252,Air India,Delhi,Cochin,1/06/2019,19:45,23h 30m,2 stops,No info,117.161
253,Jet Airways,Kolkata,Banglore,24/05/2019,16:30,27h 20m,1 stop,In-flight meal not included,119.284
254,Multiple carriers,Delhi,Cochin,27/03/2019,09:45,12h 35m,1 stop,No info,72.611
255,Air India,Delhi,Cochin,21/03/2019,19:00,24h 15m,1 stop,No info,72.457
256,SpiceJet,Mumbai,Hyderabad,21/03/2019,13:10,1h 20m,non-stop,No info,34.903
257,Air India,Banglore,Delhi,9/05/2019,10:00,2h 45m,non-stop,No info,57.508
258,Jet Airways,Banglore,Delhi,21/06/2019,07:10,3h,non-stop,In-flight meal not included,63.459
259,Jet Airways,Delhi,Cochin,6/06/2019,08:00,11h,1 stop,No info,161.854
260,Jet Airways,Delhi,Cochin,3/06/2019,05:30,13h 30m,2 stops,No info,143.154
261,IndiGo,Banglore,Delhi,3/06/2019,22:10,2h 50m,non-stop,No info,36.949
262,GoAir,Banglore,New Delhi,03/03/2019,20:55,2h 55m,non-stop,No info,73.942
263,IndiGo,Kolkata,Banglore,18/03/2019,09:35,2h 45m,non-stop,No info,49.082
264,IndiGo,Delhi,Cochin,9/03/2019,04:55,11h 15m,1 stop,No info,67.881
265,Air India,Kolkata,Banglore,21/05/2019,05:50,14h 35m,2 stops,No info,135.333
266,Multiple carriers,Delhi,Cochin,21/03/2019,11:40,13h 55m,1 stop,No info,84.645
267,IndiGo,Delhi,Cochin,24/06/2019,11:25,14h 5m,1 stop,No info,62.524
268,Air India,Kolkata,Banglore,12/06/2019,16:50,15h 5m,1 stop,No info,92.026
269,Air India,Chennai,Kolkata,1/03/2019,11:40,2h 15m,non-stop,No info,215.93
270,Jet Airways,Banglore,New Delhi,06/03/2019,14:05,15h,1 stop,In-flight meal not included,148.522
271,Jet Airways,Kolkata,Banglore,1/05/2019,21:10,12h 55m,1 stop,No info,162.591
272,Multiple carriers,Delhi,Cochin,12/06/2019,07:10,9h,1 stop,No info,71.643
273,Air India,Delhi,Cochin,1/06/2019,07:00,12h 15m,1 stop,No info,109.219
274,Multiple carriers,Delhi,Cochin,6/06/2019,17:50,7h 40m,2 stops,No info,201.025
275,Air India,Delhi,Cochin,9/04/2019,06:05,27h 20m,1 stop,No info,49.357
276,IndiGo,Mumbai,Hyderabad,15/03/2019,21:20,1h 25m,non-stop,No info,30.294
277,Air India,Mumbai,Hyderabad,27/03/2019,06:20,1h 20m,non-stop,No info,28.325
278,SpiceJet,Kolkata,Banglore,12/06/2019,15:55,5h 30m,1 stop,No info,90.464
279,Air India,Delhi,Cochin,9/03/2019,20:30,11h 45m,1 stop,No info,98.901
280,IndiGo,Delhi,Cochin,24/06/2019,05:35,3h 15m,non-stop,No info,55.0
281,Jet Airways,Kolkata,Banglore,12/06/2019,18:55,24h 55m,1 stop,In-flight meal not included,93.819
282,Air India,Delhi,Cochin,3/03/2019,06:05,27h 20m,1 stop,No info,154.462
283,Jet Airways,Banglore,Delhi,24/05/2019,11:10,2h 55m,non-stop,In-flight meal not included,44.33
284,Jet Airways,Kolkata,Banglore,6/06/2019,18:55,17h 5m,1 stop,In-flight meal not included,119.284
285,IndiGo,Kolkata,Banglore,6/05/2019,21:25,2h 40m,non-stop,No info,52.844
